App,Category,Rating,Reviews,Size,Installs,Price,Last updated date,Last updated time,Current Ver,Android Ver,Multidevice
Glide - Video Chat Messenger,COMMUNICATION,4.3,350154,Varies with device,"10,000,000+",0,31/03/2015,14:46,Varies with device,Varies with device,true
Text SMS,COMMUNICATION,4.5,349384,8.2M,"10,000,000+",0,16/07/2016,10:50,3.47,4.0.3 and up,false
Google Allo,COMMUNICATION,4.3,346982,Varies with device,"10,000,000+",0,07/04/2017,18:42,Varies with device,4.1 and up,false
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863,Varies with device,"10,000,000+",0,25/06/2016,8:25,Varies with device,Varies with device,false
LINE: Free Calls & Messages,COMMUNICATION,4.2,10790289,Varies with device,"500,000,000+",0,02/09/2016,1:21,Varies with device,Varies with device,false
GroupMe,COMMUNICATION,4.5,330761,Varies with device,"10,000,000+",0,03/07/2021,8:25,Varies with device,Varies with device,true
mysms SMS Text Messaging Sync,COMMUNICATION,4.3,37320,8.4M,"1,000,000+",0,16/06/2016,0:16,6.5.1,4.0.3 and up,true
BBM - Free Calls & Messages,COMMUNICATION,4.3,12842860,Varies with device,"100,000,000+",0,10/11/2017,2:53,Varies with device,4.0.3 and up,false
KakaoTalk: Free Calls & Text,COMMUNICATION,4.3,2546527,Varies with device,"100,000,000+",0,18/01/2016,11:40,Varies with device,Varies with device,false
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36893,4.0M,"1,000,000+",0,14/05/2019,8:59,5.2,5.0 and up,true
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32M,"1,000,000+",0,27/11/2017,6:00,5.65.0,4.0 and up,false
Google Allo,COMMUNICATION,4.3,346980,Varies with device,"10,000,000+",0,28/11/2015,21:41,Varies with device,4.1 and up,false
Google Chrome: Fast & Secure,COMMUNICATION,4.3,9643041,Varies with device,"1,000,000,000+",0,20/09/2015,4:37,Varies with device,Varies with device,true
Firefox Browser fast & private,COMMUNICATION,4.4,3075118,Varies with device,"100,000,000+",0,15/11/2021,16:34,Varies with device,Varies with device,false
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916,6.1M,"50,000,000+",0,03/10/2019,7:03,5.22.18.0006,4.0 and up,false
Puffin Web Browser,COMMUNICATION,4.3,541389,Varies with device,"10,000,000+",0,14/01/2018,17:24,7.5.3.20547,4.1 and up,true
Opera Browser: Fast and Secure,COMMUNICATION,4.4,2473693,Varies with device,"100,000,000+",0,07/09/2021,13:53,47.1.2249.129326,Varies with device,true
Ninesky Browser,COMMUNICATION,4.2,42925,2.8M,"1,000,000+",0,18/11/2018,2:28,6.1,2.3 and up,false
Opera Mini - fast web browser,COMMUNICATION,4.5,5150471,Varies with device,"100,000,000+",0,01/11/2020,17:58,Varies with device,Varies with device,true
"Dolphin Browser - Fast, Private & Adblock🐬",COMMUNICATION,4.5,2511130,Varies with device,"50,000,000+",0,01/07/2016,0:36,Varies with device,Varies with device,false
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648480,3.3M,"100,000,000+",0,19/02/2016,19:53,11.4.0,4.0 and up,false
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17714850,40M,"500,000,000+",0,19/03/2019,5:42,12.8.5.1121,4.0 and up,true
Ghostery Privacy Browser,COMMUNICATION,4.1,13100,2.2M,"1,000,000+",0,29/07/2018,4:41,1.4.1.0,4.0.3 and up,false
InBrowser - Incognito Browsing,COMMUNICATION,4.2,27156,Varies with device,"1,000,000+",0,06/08/2015,3:00,Varies with device,Varies with device,true
Web Browser for Android,COMMUNICATION,4.1,55098,4.3M,"1,000,000+",0,21/09/2017,12:39,2.2,4.0 and up,false
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501,4.7M,"10,000,000+",0,06/12/2020,0:39,6.4.0.4,4.0 and up,false
Lightning Web Browser,COMMUNICATION,4.1,12578,2.3M,"500,000+",0,06/09/2017,23:11,4.5.1,4.0 and up,false
Web Browser,COMMUNICATION,4.2,10965,2.3M,"500,000+",0,05/05/2018,8:55,2,3.0 and up,false
Puffin Browser Pro,COMMUNICATION,4,18247,Varies with device,"100,000+",$3.99,21/01/2016,14:23,7.5.3.20547,4.1 and up,true
Contacts+,COMMUNICATION,4.2,190613,11M,"10,000,000+",0,14/12/2016,12:00,5.85.1,4.0.3 and up,false
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7M,"10,000,000+",0,26/01/2020,17:36,196,2.1 and up,true
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,"5,000,000+",0,11/11/2018,3:12,3.0.4,4.0 and up,true
Viber Messenger,COMMUNICATION,4.3,11334973,Varies with device,"500,000,000+",0,08/05/2018,13:09,Varies with device,Varies with device,true
PHONE for Google Voice & GTalk,COMMUNICATION,4.3,72065,13M,"1,000,000+",0,26/01/2021,9:33,3.0.7,4.0 and up,false
Safest Call Blocker,COMMUNICATION,4.4,27540,3.7M,"1,000,000+",0,25/10/2019,0:26,1.26.001,4.0 and up,false
Full Screen Caller ID,COMMUNICATION,4.2,104990,10M,"5,000,000+",0,18/11/2019,23:01,3.5.0,4.0.3 and up,true
Hiya - Caller ID & Block,COMMUNICATION,4.4,177703,13M,"10,000,000+",0,26/05/2015,2:21,8.1.2-6310,5.0 and up,false
Call Blocker,COMMUNICATION,4.1,17529,10M,"1,000,000+",0,05/09/2017,19:54,5.86,4.0.3 and up,true
Mr. Number-Block calls & spam,COMMUNICATION,4.2,177263,13M,"10,000,000+",0,31/03/2020,1:35,5.1.2-6310,5.0 and up,false
Should I Answer?,COMMUNICATION,4.8,237468,8.8M,"1,000,000+",0,07/07/2020,17:10,2018.1.715,4.0 and up,true
RocketDial Dialer & Contacts,COMMUNICATION,4.4,32254,5.5M,"1,000,000+",0,09/05/2017,17:27,3.9.7,2.1 and up,false
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565,20M,"10,000,000+",0,18/11/2016,3:58,1286,4.1 and up,false
Whoscall - Caller ID & Block,COMMUNICATION,4.4,552441,29M,"10,000,000+",0,21/04/2017,14:45,6.19.1,4.1 and up,true
CIA - Caller ID & Call Blocker,COMMUNICATION,4,60308,Varies with device,"5,000,000+",0,16/10/2018,17:13,Varies with device,Varies with device,false
Calls Blacklist - Call Blocker,COMMUNICATION,4.5,457283,Varies with device,"10,000,000+",0,19/04/2017,6:57,Varies with device,Varies with device,false
Call Control - Call Blocker,COMMUNICATION,4.4,93825,11M,"5,000,000+",0,22/08/2018,7:30,2.17.3,4.1 and up,false
True Contact - Real Caller ID,COMMUNICATION,4.1,32283,Varies with device,"1,000,000+",0,13/03/2020,3:05,Varies with device,Varies with device,true
Video Caller Id,COMMUNICATION,4.2,15287,17M,"1,000,000+",0,03/05/2018,1:35,2.2.245,4.0.3 and up,false
Sync.ME – Caller ID & Block,COMMUNICATION,4.5,205739,17M,"5,000,000+",0,22/11/2020,4:20,4.5.4,4.1 and up,true
Burner - Free Phone Number,COMMUNICATION,4.3,14873,Varies with device,"1,000,000+",0,03/04/2018,20:24,Varies with device,Varies with device,true
"Truecaller: Caller ID, SMS spam blocking & Dialer",COMMUNICATION,4.5,7820209,Varies with device,"100,000,000+",0,22/11/2017,14:56,Varies with device,Varies with device,true
Caller ID +,COMMUNICATION,4,9498,118k,"1,000,000+",0,19/12/2021,22:34,5.28.0,2.3 and up,true
Gmail,COMMUNICATION,4.3,4604483,Varies with device,"1,000,000,000+",0,04/02/2022,18:30,Varies with device,Varies with device,false
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,4188142,16M,"100,000,000+",0,20/06/2019,19:27,5.29.3,4.4 and up,true
K-9 Mail,COMMUNICATION,4.2,88427,5.1M,"5,000,000+",0,20/02/2020,10:05,5403,4.0.3 and up,false
"myMail – Email for Hotmail, Gmail and Outlook Mail",COMMUNICATION,4.5,305218,Varies with device,"10,000,000+",0,10/10/2021,17:06,Varies with device,Varies with device,true
Email TypeApp - Mail App,COMMUNICATION,4.6,183374,44M,"1,000,000+",0,27/07/2020,22:14,1.9.4.74,4.1 and up,false
All Email Providers,COMMUNICATION,4.1,20901,7.3M,"1,000,000+",0,11/02/2016,13:49,5.0.9,4.1 and up,true
"Newton Mail - Email App for Gmail, Outlook, IMAP",COMMUNICATION,4,122595,30M,"1,000,000+",0,06/10/2019,17:07,9.8.376,5.0 and up,false
GO Notifier,COMMUNICATION,4.2,124346,695k,"10,000,000+",0,10/01/2017,14:58,2.8,2.0 and up,false
Mail.Ru - Email App,COMMUNICATION,4.6,837842,Varies with device,"50,000,000+",0,17/09/2021,19:40,Varies with device,Varies with device,true
Mail1Click - Secure Mail,COMMUNICATION,4.1,255,1.6M,"10,000+",0,06/07/2015,14:16,2.3,2.2 and up,true
Daum Mail - Next Mail,COMMUNICATION,4.3,41420,19M,"5,000,000+",0,06/09/2017,6:23,3.2.0,4.0 and up,false
mail.com mail,COMMUNICATION,4.2,44706,Varies with device,"1,000,000+",0,28/08/2017,13:54,Varies with device,Varies with device,false
SolMail - All-in-One email app,COMMUNICATION,4.3,23707,Varies with device,"500,000+",0,31/10/2018,23:16,2.3.17,Varies with device,false
Hangouts,COMMUNICATION,4,3419513,Varies with device,"1,000,000,000+",0,26/02/2022,3:34,Varies with device,Varies with device,true
imo free video calls and chat,COMMUNICATION,4.3,4785988,11M,"500,000,000+",0,31/03/2020,16:06,9.8.000000010501,4.0 and up,true
free video calls and chat,COMMUNICATION,4.2,594728,Varies with device,"50,000,000+",0,20/12/2019,20:43,7.3(800241),4.4 and up,true
Viber Messenger,COMMUNICATION,4.3,11335255,Varies with device,"500,000,000+",0,16/06/2021,23:42,Varies with device,Varies with device,true
Skype - free IM & video calls,COMMUNICATION,4.1,10484169,Varies with device,"1,000,000,000+",0,01/12/2016,20:41,Varies with device,Varies with device,true
WeChat,COMMUNICATION,4.2,5387446,Varies with device,"100,000,000+",0,27/07/2015,16:32,Varies with device,Varies with device,true
Vonage Mobile® Call Video Text,COMMUNICATION,4.1,29208,23M,"1,000,000+",0,29/12/2016,17:35,2.9.8,2.3.3 and up,true
JusTalk - Free Video Calls and Fun Video Chat,COMMUNICATION,4.6,191032,26M,"5,000,000+",0,01/03/2018,12:59,7.2.29,4.0.3 and up,true
Glide - Video Chat Messenger,COMMUNICATION,4.3,350154,Varies with device,"10,000,000+",0,07/02/2020,15:53,Varies with device,Varies with device,false
Talkray - Free Calls & Texts,COMMUNICATION,4.2,244863,Varies with device,"10,000,000+",0,30/06/2019,15:42,Varies with device,Varies with device,false
LINE: Free Calls & Messages,COMMUNICATION,4.2,10790289,Varies with device,"500,000,000+",0,11/10/2015,7:17,Varies with device,Varies with device,true
KakaoTalk: Free Calls & Text,COMMUNICATION,4.3,2546527,Varies with device,"100,000,000+",0,02/09/2018,11:33,Varies with device,Varies with device,false
"Moco+ - Chat, Meet People",DATING,4.2,1545,Varies with device,"10,000+",$3.99,27/02/2019,1:04,2.6.139,4.1 and up,true
Calculator,DATING,2.6,57,6.2M,"1,000+",$6.99,03/07/2018,19:16,1.1.6,4.0 and up,false
Truth or Dare Pro,DATING,NaN,0,20M,50+,$1.49,30/03/2017,8:43,1,4.0 and up,false
"Private Dating, Hide App- Blue for PrivacyHider",DATING,NaN,0,18k,100+,$2.99,26/12/2017,0:01,1.0.1,4.0 and up,true
Ad Blocker for SayHi,DATING,NaN,4,1.2M,100+,$3.99,06/10/2020,1:02,1.2,4.0.3 and up,false
AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,17M,100+,$7.99,10/10/2019,9:52,1.0.1,4.0 and up,false
Zoosk Dating App: Meet Singles,DATING,4,516801,Varies with device,"10,000,000+",0,16/11/2017,2:22,Varies with device,Varies with device,true
OkCupid Dating,DATING,4.1,285726,15M,"10,000,000+",0,14/07/2021,8:46,11.10.1,4.1 and up,false
Match™ Dating - Meet Singles,DATING,3.7,76646,Varies with device,"10,000,000+",0,20/04/2016,8:09,Varies with device,Varies with device,true
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",0,25/10/2021,7:22,2.5.2,4.1 and up,false
Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",0,23/11/2016,22:58,6.1.3,5.0 and up,false
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11M,"5,000,000+",0,30/08/2016,17:31,4.17.2,4.1 and up,false
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",0,09/09/2019,6:02,3.5.0.1,4.1 and up,true
"Moco - Chat, Meet People",DATING,4.2,313724,Varies with device,"10,000,000+",0,07/08/2018,9:51,2.6.141,4.1 and up,true
CMB Free Dating App,DATING,4,48845,40M,"1,000,000+",0,14/10/2020,9:58,4.19.0.2320,4.4 and up,false
Hot or Not - Find someone right now,DATING,4.1,305708,Varies with device,"10,000,000+",0,29/03/2019,3:27,Varies with device,Varies with device,false
eharmony - Online Dating App,DATING,3.1,31320,53M,"5,000,000+",0,29/01/2018,6:39,6.6.5,4.1 and up,true
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1M,"5,000,000+",0,08/04/2018,6:15,1639,4.0 and up,true
"Chispa, the Dating App for Latino, Latina Singles",DATING,4.2,4195,24M,"100,000+",0,10/11/2017,23:19,1.6.1,4.4 and up,true
Clover Dating App,DATING,4.1,11633,23M,"500,000+",0,12/09/2019,21:41,2.5.1,4.1 and up,false
Black People Meet Singles Date,DATING,3.9,10212,5.0M,"1,000,000+",0,05/08/2018,12:38,1.9.7,4.4 and up,true
Mingle2 - Free Online Dating & Singles Chat Rooms,DATING,4.3,37053,44M,"1,000,000+",0,31/07/2017,11:14,4.4B,4.1 and up,true
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27M,"10,000+",0,29/09/2015,8:37,1.308.us,4.1 and up,false
stranger chat - anonymous chat,DATING,3.5,13202,6.1M,"1,000,000+",0,23/08/2017,10:47,2.4.1,4.1 and up,true
"Blendr - Chat, Flirt & Meet",DATING,4,28671,Varies with device,"1,000,000+",0,13/07/2015,18:06,Varies with device,Varies with device,false
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",0,30/09/2020,16:07,5.0.1,4.2 and up,true
Find Real Love — YouLove Premium Dating,DATING,4.5,212626,11M,"10,000,000+",0,02/02/2021,18:39,4.17.2,4.1 and up,true
Once - Quality Matches Every day,DATING,4.4,222888,21M,"1,000,000+",0,14/11/2015,9:20,2.45,4.1 and up,true
BLK - Swipe. Match. Chat.,DATING,4.1,2067,24M,"100,000+",0,20/12/2019,18:10,1.6.1,4.4 and up,true
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1643,31M,"500,000+",0,02/03/2017,8:35,4.5.5,4.1 and up,false
Howlr,DATING,3.9,105,27M,"5,000+",0,07/10/2021,3:30,1.0.4,4.4 and up,true
Stranger Chat & Date,DATING,3.6,3414,6.2M,"500,000+",0,27/09/2018,0:41,1.2.1,4.1 and up,true
Free Dating & Flirt Chat - Choice of Love,DATING,4,42194,Varies with device,"5,000,000+",0,19/09/2019,4:35,Varies with device,Varies with device,true
RandoChat - Chat roulette,DATING,3.6,11806,12M,"1,000,000+",0,22/07/2020,4:43,4.0.18,4.0.3 and up,false
BeWild Free Dating & Chat App,DATING,3.4,1999,8.0M,"100,000+",0,08/10/2020,14:11,1.6.5,4.2 and up,true
"FastMeet: Chat, Dating, Love",DATING,4.2,22544,5.9M,"1,000,000+",0,14/12/2018,8:38,1.31.4,4.0.3 and up,true
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684,7.9M,"1,000,000+",0,19/04/2017,23:49,1.23,4.0.3 and up,false
OurTime Dating for Singles 50+,DATING,3.4,2519,5.0M,"100,000+",0,30/05/2015,12:28,1.9.7,4.4 and up,true
FarmersOnly Dating,DATING,3,1146,1.4M,"100,000+",0,27/04/2020,5:15,2.2,4.0 and up,false
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13046,13M,"500,000+",0,30/10/2018,5:43,4.17.2,4.1 and up,true
Sudy – Meet Elite & Rich Single,DATING,4.1,17268,40M,"500,000+",0,05/02/2020,7:24,4.1.2,4.0.3 and up,false
Christian Dating For Free App,DATING,3.9,8722,13M,"500,000+",0,20/03/2021,14:46,15.8,4.1 and up,false
Just She - Top Lesbian Dating,DATING,1.9,953,19M,"100,000+",0,25/06/2021,9:14,6.3.7,5.0 and up,false
Single Parent Meet #1 Dating,DATING,3.5,2593,5.0M,"500,000+",0,17/07/2019,22:15,1.9.7,4.4 and up,false
EliteSingles – Dating for Single Professionals,DATING,2.5,5377,19M,"500,000+",0,05/11/2021,8:27,4.8.5,4.0.3 and up,true
Millionaire Match: Rich Singles Dating App,DATING,3.9,852,27M,"100,000+",0,14/11/2021,11:42,6.4.6,4.1 and up,false
InterracialCupid - Interracial Dating App,DATING,3.4,212,3.0M,"50,000+",0,23/01/2016,7:12,2.3.0.1781,5.0 and up,true
Sugar Mommas Dating And Single Search,DATING,3.5,1972,13M,"1,000,000+",0,10/08/2016,15:32,4.3,4.1 and up,false
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206,7.2M,"1,000,000+",0,05/01/2016,7:53,2.9.6,4.0 and up,true
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,3.8,5164,25M,"100,000+",0,17/02/2017,5:03,3.8.75a,4.0.3 and up,true
NoBuffDating - Free Dating App,DATING,4.2,1939,Varies with device,"100,000+",0,23/10/2015,5:53,1.0.0,4.0 and up,false
Sugar Daddy Dating App,DATING,2.5,277,5.7M,"100,000+",0,20/02/2017,23:35,3.0.0,4.1 and up,true
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",0,07/02/2016,10:13,1,4.0.3 and up,true
Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.1,825,Varies with device,"100,000+",0,17/12/2019,19:15,1.0.5,4.0 and up,true
"Meet4U - Chat, Love, Singles!",DATING,4.2,40035,6.5M,"1,000,000+",0,13/02/2021,15:26,1.31.3,4.0.3 and up,true
SnpCupid Dating,DATING,3.5,1093,5.8M,"100,000+",0,09/04/2016,4:50,1.6.6,4.2 and up,false
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135418,Varies with device,"10,000,000+",0,11/07/2021,22:52,Varies with device,Varies with device,false
Adult Dating - AdultFinder,DATING,3.3,1601,3.8M,"500,000+",0,04/02/2019,22:49,1.5,4.1 and up,true
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41M,"100,000+",0,06/06/2017,5:00,2.0.5,4.0.3 and up,false
"Meet24 - Love, Chat, Singles",DATING,4.2,57081,7.9M,"1,000,000+",0,12/08/2016,14:59,1.31.3,4.0.3 and up,false
BBWCupid - BBW Dating App,DATING,3.5,241,2.8M,"50,000+",0,14/03/2015,4:09,2.2.0.1748,5.0 and up,false
ChatVideo Meet new people,DATING,4.2,63986,20M,"5,000,000+",0,24/04/2018,0:42,3.0.15,4.0 and up,true
"TryDate - Free Online Dating App, Chat Meet Adults",DATING,4.4,7888,15M,"500,000+",0,27/10/2021,23:30,2.4.0,4.1 and up,true
Black White Interracial Dating - Interracial Match,DATING,4.1,535,28M,"100,000+",0,22/10/2019,15:34,2.0.0,4.1 and up,true
"USA Singles Meet, Match and Date Free - Date",DATING,4.2,5084,9.6M,"100,000+",0,03/09/2017,12:36,1.55,4.1 and up,true
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2430,13M,"500,000+",0,09/03/2016,18:20,12.0.4,4.1 and up,false
OkCupid Dating,DATING,4.1,285726,15M,"10,000,000+",0,03/02/2020,9:40,11.10.1,4.1 and up,true
CMB Free Dating App,DATING,4,48845,40M,"1,000,000+",0,11/08/2017,11:53,4.19.0.2320,4.4 and up,false
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",0,04/11/2016,22:09,2.5.2,4.1 and up,false
Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",0,25/03/2020,6:52,6.1.3,5.0 and up,false
The League,DATING,3,837,9.4M,"100,000+",0,12/02/2017,6:34,1.15.0,4.4 and up,false
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",0,24/09/2021,17:39,3.5.0.1,4.1 and up,false
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11M,"5,000,000+",0,02/07/2019,11:04,4.17.2,4.1 and up,false
EliteSingles – Dating for Single Professionals,DATING,2.5,5377,19M,"500,000+",0,20/05/2016,18:53,4.8.5,4.0.3 and up,false
Clover Dating App,DATING,4.1,11633,23M,"500,000+",0,08/04/2021,13:46,2.5.1,4.1 and up,false
"Moco - Chat, Meet People",DATING,4.2,313724,Varies with device,"10,000,000+",0,09/07/2016,10:11,2.6.141,4.1 and up,false
"Herpes Dating: 1,000K+ Singles",DATING,4,738,27M,"10,000+",0,10/10/2019,6:30,6.4.1,4.1 and up,false
Hot or Not - Find someone right now,DATING,4.1,305708,Varies with device,"10,000,000+",0,22/12/2015,10:09,Varies with device,Varies with device,true
Just She - Top Lesbian Dating,DATING,1.9,953,19M,"100,000+",0,24/12/2017,12:25,6.3.7,5.0 and up,true
Heart mill,DATING,3.3,4631,45M,"100,000+",0,08/06/2018,15:46,5.2.14,5.0 and up,false
Once - Quality Matches Every day,DATING,4.4,222888,21M,"1,000,000+",0,02/05/2019,0:31,2.45,4.1 and up,true
Sudy – Meet Elite & Rich Single,DATING,4.1,17268,40M,"500,000+",0,23/03/2015,8:48,4.1.2,4.0.3 and up,true
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,3.8,5164,25M,"100,000+",0,30/03/2021,10:30,3.8.75a,4.0.3 and up,false
95Live -SG#1 Live Streaming App,DATING,4.1,4953,15M,"1,000,000+",0,17/10/2021,9:21,8.7.2,4.2 and up,false
"Chispa, the Dating App for Latino, Latina Singles",DATING,4.2,4195,24M,"100,000+",0,10/08/2018,5:32,1.6.1,4.4 and up,true
"Blendr - Chat, Flirt & Meet",DATING,4,28671,Varies with device,"1,000,000+",0,23/07/2015,8:01,Varies with device,Varies with device,true
Find Real Love — YouLove Premium Dating,DATING,4.5,212626,11M,"10,000,000+",0,08/03/2017,8:27,4.17.2,4.1 and up,true
Mutual - LDS Dating,DATING,3.7,1439,38M,"50,000+",0,15/05/2019,17:55,1.1.46,4.2 and up,false
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1645,31M,"500,000+",0,09/03/2015,17:07,4.5.5,4.1 and up,false
stranger chat - anonymous chat,DATING,3.5,13204,6.1M,"1,000,000+",0,22/09/2016,3:29,2.4.1,4.1 and up,true
Millionaire Match: Rich Singles Dating App,DATING,3.9,853,27M,"100,000+",0,20/10/2015,12:18,6.4.6,4.1 and up,false
2RedBeans,DATING,4,337,32M,"10,000+",0,13/01/2019,4:21,2.8.0,4.3 and up,false
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13049,13M,"500,000+",0,04/05/2015,3:01,4.17.2,4.1 and up,false
"SweetRing - Meet, Match, Date",DATING,4,51698,63M,"1,000,000+",0,29/01/2022,12:15,3.0.0,4.0.3 and up,false
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.1,923,44M,"100,000+",0,23/01/2018,8:53,3.4.1.1,4.1 and up,true
"Moco+ - Chat, Meet People",DATING,4.2,1546,Varies with device,"10,000+",$3.99,01/12/2017,7:19,2.6.139,4.1 and up,false
SilverSingles: The 50+ Dating App,DATING,3.3,149,16M,"10,000+",0,19/04/2019,16:55,4.8.5,4.0.3 and up,false
Herpes Positive Singles Dating,DATING,4.4,198,28M,"10,000+",0,09/08/2019,2:39,5.5.7,4.1 and up,true
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135420,Varies with device,"10,000,000+",0,17/08/2015,4:11,Varies with device,Varies with device,true
"FastMeet: Chat, Dating, Love",DATING,4.2,22545,5.9M,"1,000,000+",0,24/08/2016,5:55,1.31.4,4.0.3 and up,true
Christian Dating For Free App,DATING,3.9,8723,13M,"500,000+",0,14/03/2015,13:16,15.8,4.1 and up,false
Glam - Premium Dating App,DATING,4.3,23170,9.0M,"500,000+",0,26/04/2016,3:12,1.5.4.0,4.1 and up,false
"iDates - Chats, Flirts, Dating, Love & Relations",DATING,3.4,13890,20M,"500,000+",0,13/08/2017,13:20,4.9.2 (Oasis),4.2 and up,true
"Meet24 - Love, Chat, Singles",DATING,4.2,57083,7.9M,"1,000,000+",0,24/06/2020,16:08,1.31.3,4.0.3 and up,false
Black White Interracial Dating - Interracial Match,DATING,4.1,537,28M,"100,000+",0,20/06/2021,7:16,2.0.0,4.1 and up,false
JustDating,DATING,4,13440,49M,"500,000+",0,07/03/2018,18:20,3.10.5,4.0.3 and up,false
Interracial Match Dating App,DATING,3.6,143,27M,"10,000+",0,14/05/2015,11:13,2.2.7,4.1 and up,true
Russian Dating & Chat for Russian speaking RusDate,DATING,4.2,1059,18M,"100,000+",0,17/01/2018,17:46,1.17,4.2 and up,true
Sky People (SPI): A secure blind date through authentication by Seoul National University,DATING,3.5,894,14M,"100,000+",0,28/04/2018,6:32,3.1.3,4.1 and up,true
Sweet mi - unlimited hunnam hunting blind date,DATING,4,6191,27M,"500,000+",0,20/07/2016,16:42,0.0.73,4.1 and up,true
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41M,"100,000+",0,17/05/2016,19:58,2.0.5,4.0.3 and up,true
Mingle - Online Dating App to Chat & Meet People,DATING,4.1,15081,38M,"1,000,000+",0,04/07/2016,10:42,4.7.6,4.1 and up,false
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",0,02/09/2021,8:43,1,4.0.3 and up,true
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218,27M,"10,000+",0,19/03/2016,8:24,5.2.9,4.1 and up,false
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35205,7.2M,"1,000,000+",0,01/10/2018,8:27,2.9.6,4.0 and up,true
Hitwe - meet people and chat,DATING,4.2,243950,21M,"10,000,000+",0,26/08/2019,19:22,4.3.2,4.1 and up,true
A hundred,DATING,4.1,236,8.8M,"10,000+",0,15/08/2021,12:45,3.9.2,4.0.3 and up,true
JustSayHi- Dating App. Chat & Meet Singles Nearby,DATING,4.2,5152,38M,"100,000+",0,12/09/2018,23:13,3.6.3,4.1 and up,true
FERZU - Furries Social Network,DATING,3.9,1576,Varies with device,"10,000+",0,15/03/2019,6:11,4.4.1,4.1 and up,true
WannaMeet – Dating & Chat App,DATING,4.1,6701,11M,"1,000,000+",0,10/08/2020,19:07,5.16.2,4.0.3 and up,false
"Meet4U - Chat, Love, Singles!",DATING,4.2,40039,6.5M,"1,000,000+",0,27/12/2015,3:29,1.31.3,4.0.3 and up,true
Luxy Pro- Elite Dating Single,DATING,3.9,742,26M,"50,000+",0,10/06/2018,19:20,5.3.3.13289,4.0.3 and up,false
Dating Network,DATING,4,187,19M,"10,000+",0,12/01/2021,16:52,1.17,4.2 and up,true
"Chatting - Free chat, random chat, boyfriend, girlfriend",DATING,4.2,2506,6.1M,"500,000+",0,25/08/2016,6:15,3.0.0,4.0 and up,false
"iPair-Meet, Chat, Dating",DATING,4.5,182986,77M,"5,000,000+",0,26/03/2017,1:06,5.0.8,4.1 and up,true
"Meet, chat & date. Free dating app - Chocolate app",DATING,3.9,8661,9.5M,"1,000,000+",0,05/03/2020,2:34,0.1.11,4.0 and up,false
Transenger – Ts Dating and Chat for Free,DATING,3.6,8,14M,"1,000+",0,03/02/2016,16:25,1.4.0,4.4 and up,true
O-Star,DATING,4.4,59,38M,"5,000+",0,06/09/2017,23:36,1.0.1,4.3 and up,false
